label	predict	score
1	1	0.98206276
-1	-1	0.0038821194
1	1	0.91566366
-1	1	0.6171816
-1	-1	0.11473574
-1	-1	0.006767991
-1	-1	0.0029138564
1	1	0.9991098
1	-1	0.055947527
-1	-1	0.4024775
-1	-1	0.041478373
-1	-1	0.002722585
-1	-1	0.0039903442
1	1	0.99789774
-1	-1	0.02033887
1	1	0.9915558
1	1	0.9932468
-1	-1	0.0032989553
1	1	0.99689734
-1	-1	0.0053552976
1	1	0.9891622
-1	-1	0.013480649
1	1	0.99692625
-1	-1	0.12632926
1	1	0.99477094
-1	-1	0.13177744
-1	-1	0.0026597907
-1	-1	0.0023271313
-1	-1	0.0039494084
-1	-1	0.39596814
1	1	0.98725116
1	1	0.9983444
-1	1	0.5844305
-1	-1	0.0034288415
1	-1	0.0038500745
-1	-1	0.0024417671
1	-1	0.4672935
1	1	0.9788912
-1	-1	0.1366973
-1	-1	0.08860011
1	1	0.99910754
-1	-1	0.09809969
1	1	0.99173486
-1	-1	0.08067374
1	1	0.756245
-1	-1	0.0032056454
1	1	0.99456936
-1	-1	0.0024953312
-1	-1	0.0036923517
1	1	0.9978483
1	1	0.7025224
1	1	0.99269015
1	1	0.9904364
-1	-1	0.0024287098
1	1	0.991155
1	1	0.9830809
-1	-1	0.0035824429
1	1	0.99808455
1	1	0.9796251
-1	-1	0.022298878
-1	-1	0.19797428
-1	-1	0.037633147
1	1	0.9990777
1	1	0.9962154
1	1	0.95143443
-1	-1	0.006184292
-1	-1	0.0030447112
1	1	0.9983746
1	1	0.9873073
1	1	0.5903077
-1	-1	0.0022625155
-1	-1	0.008255565
1	1	0.99213976
1	1	0.9982211
1	1	0.9953799
1	1	0.9980552
1	1	0.7938741
1	1	0.81761795
-1	-1	0.01861323
-1	-1	0.0030387181
-1	-1	0.0022848374
-1	-1	0.026600279
1	1	0.52749634
1	1	0.99633384
1	1	0.8174003
1	1	0.97582895
1	1	0.9947007
-1	-1	0.027783269
-1	-1	0.0020403983
1	1	0.99892443
-1	-1	0.002820509
-1	-1	0.010484277
1	1	0.9960543
1	1	0.96834654
-1	-1	0.0028462247
-1	-1	0.002995267
-1	-1	0.0015275518
