index,index,create_age(months),expiry_age(months),update_age(days),URL,num_domain_periods,domain_length,num_domain_terms,Has_Sensitive_words,Has_IP,Num_Periods,Has_sus_char,URL_Length,num_slashes,sus_files,Label,URLNet_Prediction,predict
4286.0,4286.0,-1.0,-1.0,-1.0,http://sefty-pages-masagge-inc.esy.es/indexx.htm...,2.0,28.0,3.0,0.0,0.0,3.0,1.0,51.0,3.0,0.0,1.0,1,
650.0,650.0,235.0,17.0,133.0,http://robots.net/rss/articles.xml...,1.0,9.0,2.0,0.0,0.0,2.0,0.0,37.0,4.0,0.0,0.0,0,
2305.0,2305.0,-1.0,-1.0,-1.0,http://www.dinastiaacessorios.com.br/js/lib/x0drwxr-xr-x0x/6391940d2da...,2.0,23.0,3.0,0.0,0.0,3.0,1.0,73.0,6.0,1.0,1.0,1,
708.0,708.0,203.0,4.0,1076.0,http://finance.pro2net.com/...,2.0,17.0,3.0,0.0,0.0,2.0,0.0,30.0,3.0,0.0,0.0,1,
4538.0,4538.0,-1.0,-1.0,-1.0,http://www.ocm.eu/wedit/uploads/prodotti/64/usaaweb1.php...,1.0,5.0,2.0,0.0,0.0,3.0,0.0,59.0,7.0,1.0,1.0,0,
1305.0,1305.0,-1.0,-1.0,-1.0,http://www-ali.cs.umass.edu/...,3.0,14.0,4.0,0.0,0.0,3.0,1.0,31.0,3.0,0.0,0.0,0,
3333.0,3333.0,226.0,14.0,8.0,http://secure.square.loginodqx.usa.cc/...,4.0,26.0,5.0,1.0,0.0,4.0,0.0,41.0,3.0,0.0,1.0,0,
1694.0,1694.0,52.0,8.0,42.0,http://vertebraledu.org/includes/apache/91899c3d4b39833434140f73dbffd0...,1.0,15.0,2.0,0.0,0.0,1.0,0.0,73.0,5.0,0.0,1.0,1,
2567.0,2567.0,-1.0,-1.0,-1.0,http://www.tudoemprata.com.br/numee/usaa.com-sec-inet-auth-logon-ent-l...,2.0,16.0,3.0,0.0,0.0,4.0,1.0,73.0,4.0,0.0,1.0,0,
1116.0,1116.0,103.0,5.0,-1.0,http://liversurgery.com.sg/includes/Zone1/login.php?.portal...,2.0,17.0,3.0,1.0,0.0,4.0,0.0,62.0,5.0,1.0,1.0,0,
3505.0,3505.0,-1.0,-1.0,-1.0,http://bluga.com.ar/fran/googledocs/login.php?l=_jehfuq_vjoxjogydw_oxk...,2.0,10.0,3.0,1.0,0.0,3.0,0.0,73.0,5.0,1.0,1.0,0,
192.0,192.0,-1.0,-1.0,-1.0,http://buffetcomecome.com.br/adobepdf/59bcfbb62125f023256e2b508a42909c...,2.0,19.0,3.0,0.0,0.0,2.0,0.0,73.0,4.0,1.0,1.0,0,
889.0,889.0,222.0,6.0,198.0,http://robonyp.8m.com/...,2.0,12.0,3.0,0.0,0.0,2.0,0.0,25.0,3.0,0.0,0.0,0,
3076.0,3076.0,210.0,23.0,339.0,http://www.mudrasforhealing.com/...,1.0,19.0,2.0,0.0,0.0,2.0,0.0,35.0,3.0,0.0,0.0,1,
1612.0,1612.0,60.0,12.0,1.0,http://7marketing.org/use/usaatrue2/da4628b19aa7d7e72c80920fafd06635/...,1.0,13.0,2.0,0.0,0.0,1.0,0.0,72.0,6.0,0.0,1.0,0,
1614.0,1614.0,10.0,2.0,6.0,http://ifl-us.com/aol.ng/secured.html...,1.0,9.0,2.0,1.0,0.0,3.0,1.0,40.0,4.0,0.0,1.0,1,
2770.0,2770.0,188.0,4.0,273.0,http://www.gbrathletics.com/olympic/...,1.0,15.0,2.0,0.0,0.0,2.0,0.0,39.0,4.0,0.0,0.0,1,
314.0,314.0,242.0,22.0,460.0,http://www.sportsmint.com/...,1.0,13.0,2.0,0.0,0.0,2.0,0.0,29.0,3.0,0.0,0.0,0,
3663.0,3663.0,47.0,0.0,690.0,http://enlacegsm.com/web/s...,1.0,12.0,2.0,0.0,0.0,1.0,0.0,29.0,4.0,0.0,1.0,1,
1893.0,1893.0,52.0,8.0,143.0,http://safety-new2016.twomini.com/account-user/Recovery_Identity.htm...,2.0,24.0,3.0,0.0,0.0,3.0,1.0,71.0,4.0,0.0,1.0,0,
627.0,627.0,205.0,35.0,1755.0,http://www.upeace.org/...,1.0,9.0,2.0,0.0,0.0,2.0,0.0,25.0,3.0,0.0,0.0,1,
1480.0,1480.0,-1.0,-1.0,-1.0,http://www.bopcricket.co.nz/...,2.0,14.0,3.0,0.0,0.0,3.0,0.0,31.0,3.0,0.0,0.0,0,
2174.0,2174.0,-1.0,-1.0,-1.0,http://users.skynet.be/HL-Editions/index.html...,2.0,13.0,3.0,0.0,0.0,3.0,1.0,48.0,4.0,0.0,0.0,1,
4783.0,4783.0,-1.0,-1.0,-1.0,http://www.pudforallseasons.com.au/...,2.0,21.0,3.0,0.0,0.0,3.0,0.0,38.0,3.0,0.0,0.0,0,
3864.0,3864.0,21.0,3.0,258.0,http://www.hymesh.net/kowloinvestment/...,1.0,9.0,2.0,0.0,0.0,2.0,0.0,41.0,4.0,0.0,1.0,1,
3725.0,3725.0,198.0,6.0,258.0,http://calderara.com/...,1.0,12.0,2.0,0.0,0.0,1.0,0.0,24.0,3.0,0.0,0.0,0,
113.0,113.0,-1.0,-1.0,-1.0,http://jnzbtb.cn/images?amp&amp;jnzbtb.cn/images?amp&amp;app=com-d3&am...,1.0,8.0,2.0,0.0,0.0,2.0,1.0,73.0,4.0,0.0,1.0,0,
960.0,960.0,-1.0,-1.0,-1.0,http://www.naturalis.nl/...,1.0,11.0,2.0,0.0,0.0,2.0,0.0,27.0,3.0,0.0,0.0,0,
2715.0,2715.0,126.0,114.0,174.0,http://www.numbernut.com/...,1.0,12.0,2.0,0.0,0.0,2.0,0.0,28.0,3.0,0.0,0.0,0,
1822.0,1822.0,230.0,10.0,84.0,http://markstea.homestead.com/...,2.0,20.0,3.0,0.0,0.0,2.0,0.0,33.0,3.0,0.0,0.0,0,
90.0,90.0,137.0,55.0,819.0,http://www.mathhelpforum.com/...,1.0,16.0,2.0,0.0,0.0,2.0,0.0,32.0,3.0,0.0,0.0,1,
3096.0,3096.0,208.0,20.0,184.0,http://www.westwardindustries.com/...,1.0,20.0,2.0,0.0,0.0,2.0,0.0,37.0,3.0,0.0,0.0,1,
2841.0,2841.0,136.0,8.0,114.0,http://www.youngswines.com/...,1.0,14.0,2.0,0.0,0.0,2.0,0.0,30.0,3.0,0.0,0.0,1,
4798.0,4798.0,172.0,68.0,745.0,http://www.waterfrontrecords.com/...,1.0,19.0,2.0,0.0,0.0,2.0,0.0,36.0,3.0,0.0,0.0,0,
3065.0,3065.0,-1.0,-1.0,-1.0,http://fbcancelblockingpage.co.nf...,5.0,24.0,6.0,0.0,0.0,2.0,0.0,36.0,2.0,0.0,1.0,0,
2978.0,2978.0,128.0,4.0,272.0,http://www.hairkit.co.uk/...,2.0,11.0,3.0,0.0,0.0,3.0,0.0,28.0,3.0,0.0,0.0,0,
4082.0,4082.0,89.0,7.0,150.0,http://www.northamericaniron.com/Secuirtyservices/SecuirtyServices/eb5...,1.0,20.0,2.0,0.0,0.0,2.0,0.0,73.0,5.0,0.0,1.0,0,
3703.0,3703.0,99.0,21.0,122.0,http://www.sylviaswaffles.com/...,1.0,17.0,2.0,0.0,0.0,2.0,0.0,33.0,3.0,0.0,0.0,1,
4351.0,4351.0,2.0,10.0,73.0,http://customer-accountupdate.com/webapps/3541a/websrc...,1.0,25.0,2.0,1.0,0.0,1.0,1.0,57.0,5.0,0.0,1.0,0,
1427.0,1427.0,259.0,-1.0,16.0,http://algo.inria.fr/AofA/...,2.0,11.0,3.0,0.0,0.0,2.0,0.0,29.0,4.0,0.0,0.0,0,
602.0,602.0,-1.0,-1.0,-1.0,http://onebeautystore.com.br/downloader/lib/Mage/Backup/Exception/norm...,2.0,19.0,3.0,0.0,0.0,2.0,0.0,73.0,8.0,0.0,1.0,1,
3793.0,3793.0,3.0,9.0,67.0,http://csprico.net/Online.Service/login.php...,1.0,10.0,2.0,1.0,0.0,3.0,0.0,46.0,4.0,1.0,1.0,0,
624.0,624.0,191.0,13.0,9.0,http://www.automotivecomposites.com/...,1.0,23.0,2.0,0.0,0.0,2.0,0.0,39.0,3.0,0.0,0.0,1,
1569.0,1569.0,152.0,64.0,450.0,http://www.tutorialized.com/...,1.0,15.0,2.0,0.0,0.0,2.0,0.0,31.0,3.0,0.0,0.0,0,
1173.0,1173.0,12.0,0.0,10.0,http://drfumero.com/js/pnc/sign-in/onlinebanking.pnc.signon/pnc...,1.0,11.0,2.0,1.0,0.0,3.0,1.0,66.0,7.0,1.0,1.0,1,
605.0,605.0,224.0,4.0,239.0,http://www.agripicture.com/...,1.0,14.0,2.0,0.0,0.0,2.0,0.0,30.0,3.0,0.0,0.0,0,
2181.0,2181.0,170.0,22.0,333.0,http://myhome.almostmy.com/123kid/left.htm...,2.0,17.0,3.0,0.0,0.0,3.0,0.0,45.0,4.0,0.0,1.0,1,
1684.0,1684.0,159.0,9.0,131.0,http://creme.dcode.org/...,2.0,13.0,3.0,0.0,0.0,2.0,0.0,26.0,3.0,0.0,0.0,0,
4768.0,4768.0,2.0,10.0,15.0,http://www.ab388.xyz/...,1.0,8.0,2.0,0.0,0.0,2.0,0.0,24.0,3.0,0.0,1.0,0,
4214.0,4214.0,64.0,35.0,20.0,http://www.yearroundrentalhomes.com/property/bc91f7a3324e711e7bac4beae...,1.0,23.0,2.0,0.0,0.0,2.0,0.0,73.0,4.0,0.0,1.0,1,
3578.0,3578.0,165.0,39.0,169.0,http://remotetechs.com/newsite/confirm-your-paypa1...,1.0,14.0,2.0,0.0,0.0,1.0,1.0,53.0,4.0,0.0,1.0,1,
4410.0,4410.0,234.0,6.0,562.0,http://www.edbydesign.com/automath.html...,1.0,13.0,2.0,0.0,0.0,3.0,0.0,42.0,3.0,0.0,0.0,1,
3808.0,3808.0,2.0,10.0,74.0,http://apple.com.f1li.xyz/401ae256b7f854ddeeda7bf88198f738/...,3.0,15.0,4.0,0.0,0.0,3.0,0.0,62.0,4.0,0.0,1.0,1,
3964.0,3964.0,-1.0,-1.0,-1.0,http://pedreiradouradao.com.br/layouts/Zone1/login.htm...,2.0,21.0,3.0,1.0,0.0,3.0,0.0,57.0,5.0,0.0,1.0,0,
1551.0,1551.0,-1.0,-1.0,-1.0,http://www.plantaoservopa.com.br/lavisa/paypal2016/accounts/52e2a76cee...,2.0,19.0,3.0,0.0,0.0,3.0,0.0,73.0,6.0,0.0,1.0,1,
2812.0,2812.0,9.0,3.0,67.0,http://paypal.com.webapps.mpp.home.debitcards24p.com/2a7e255e7916cbc32...,6.0,39.0,7.0,0.0,0.0,6.0,0.0,73.0,3.0,0.0,1.0,1,
2497.0,2497.0,226.0,14.0,213.0,http://hiroba.dqx.jp.ixczl.usa.cc/account/app/svc/login.html...,5.0,21.0,6.0,1.0,0.0,6.0,0.0,63.0,6.0,0.0,1.0,0,
4381.0,4381.0,208.0,8.0,475.0,http://indiantelevision.com/...,1.0,19.0,2.0,0.0,0.0,1.0,0.0,31.0,3.0,0.0,0.0,1,
3931.0,3931.0,218.0,58.0,448.0,http://www.palmohan.com/...,1.0,11.0,2.0,0.0,0.0,2.0,0.0,27.0,3.0,0.0,0.0,1,
3370.0,3370.0,-1.0,-1.0,-1.0,http://vominhthu.jii.vn/wp-admin/maint/live.com...,2.0,14.0,3.0,0.0,0.0,3.0,1.0,50.0,5.0,0.0,1.0,0,
759.0,759.0,39.0,9.0,90.0,http://rogersandstephens.com/log/Secur/Secure/Secure/Account/Update/eb...,1.0,20.0,2.0,0.0,0.0,1.0,0.0,73.0,9.0,0.0,1.0,0,
2067.0,2067.0,-1.0,-1.0,-1.0,http://www.toltentour.cl/omoes/dpbx/...,1.0,12.0,2.0,0.0,0.0,2.0,0.0,39.0,5.0,0.0,1.0,0,
1808.0,1808.0,35.0,1.0,347.0,http://veritycation-repair-shopping.fulba.com/index.htm...,2.0,36.0,3.0,0.0,0.0,3.0,1.0,58.0,3.0,0.0,1.0,1,
1164.0,1164.0,187.0,29.0,488.0,http://appleid.apple.com-subscriptions.manager1347121422.bertovic.com....,9.0,57.0,10.0,0.0,0.0,6.0,1.0,73.0,2.0,0.0,1.0,1,
